"SETTLEMENTDATE","REGIONID","RRP"
2026-08-31 00:00:00,NSW1,93.98190
2026-08-31 00:00:00,QLD1,78.52000
2026-08-31 00:00:00,SA1,92.91045
2026-08-31 00:00:00,TAS1,81.93160
2026-08-31 00:00:00,VIC1,91.31000
2026-08-31 00:05:00,NSW1,94.78583
2026-08-31 00:05:00,QLD1,78.73000
2026-08-31 00:05:00,SA1,93.65067
2026-08-31 00:05:00,TAS1,81.92980
2026-08-31 00:05:00,VIC1,91.31000
2026-08-31 00:10:00,NSW1,95.20000
2026-08-31 00:10:00,QLD1,78.73000
2026-08-31 00:10:00,SA1,94.61724
2026-08-31 00:10:00,TAS1,81.94282
2026-08-31 00:10:00,VIC1,91.31000
2026-08-31 00:15:00,NSW1,101.86695
2026-08-31 00:15:00,QLD1,84.05961
2026-08-31 00:15:00,SA1,101.02000
2026-08-31 00:15:00,TAS1,88.89356
2026-08-31 00:15:00,VIC1,99.06347
2026-08-31 00:20:00,NSW1,99.86494
2026-08-31 00:20:00,QLD1,82.38973
2026-08-31 00:20:00,SA1,101.02000
2026-08-31 00:20:00,TAS1,87.02243
2026-08-31 00:20:00,VIC1,97.28942
2026-08-31 00:25:00,NSW1,94.86972
2026-08-31 00:25:00,QLD1,78.73000
2026-08-31 00:25:00,SA1,96.78971
2026-08-31 00:25:00,TAS1,82.05013
2026-08-31 00:25:00,VIC1,91.73181
2026-08-31 00:30:00,NSW1,95.20000
2026-08-31 00:30:00,QLD1,78.54000
2026-08-31 00:30:00,SA1,98.34126
2026-08-31 00:30:00,TAS1,82.71408
2026-08-31 00:30:00,VIC1,92.78838
2026-08-31 00:35:00,NSW1,94.61017
2026-08-31 00:35:00,QLD1,77.91118
2026-08-31 00:35:00,SA1,96.38452
2026-08-31 00:35:00,TAS1,81.69125
2026-08-31 00:35:00,VIC1,91.31000
2026-08-31 00:40:00,NSW1,99.01000
2026-08-31 00:40:00,QLD1,78.52000
2026-08-31 00:40:00,SA1,101.04013
2026-08-31 00:40:00,TAS1,86.84724
2026-08-31 00:40:00,VIC1,97.08478
2026-08-31 00:45:00,NSW1,99.01000
2026-08-31 00:45:00,QLD1,78.52000
2026-08-31 00:45:00,SA1,101.04013
2026-08-31 00:45:00,TAS1,86.44453
2026-08-31 00:45:00,VIC1,96.62947
2026-08-31 00:50:00,NSW1,99.01000
2026-08-31 00:50:00,QLD1,78.54000
2026-08-31 00:50:00,SA1,101.04013
2026-08-31 00:50:00,TAS1,86.67900
2026-08-31 00:50:00,VIC1,96.56971
2026-08-31 00:55:00,NSW1,99.01000
2026-08-31 00:55:00,QLD1,78.73000
2026-08-31 00:55:00,SA1,101.07634
2026-08-31 00:55:00,TAS1,86.36339
2026-08-31 00:55:00,VIC1,96.51723
2026-08-31 01:00:00,NSW1,96.64513
2026-08-31 01:00:00,QLD1,78.54000
2026-08-31 01:00:00,SA1,101.02000
2026-08-31 01:00:00,TAS1,84.60287
2026-08-31 01:00:00,VIC1,94.54037
2026-08-31 01:05:00,NSW1,116.02218
2026-08-31 01:05:00,QLD1,84.73006
2026-08-31 01:05:00,SA1,130.44000
2026-08-31 01:05:00,TAS1,110.89798
2026-08-31 01:05:00,VIC1,123.51920
2026-08-31 01:10:00,NSW1,99.01000
2026-08-31 01:10:00,QLD1,80.49490
2026-08-31 01:10:00,SA1,130.12104
2026-08-31 01:10:00,TAS1,110.94728
2026-08-31 01:10:00,VIC1,123.99000
2026-08-31 01:15:00,NSW1,84.79000
2026-08-31 01:15:00,QLD1,71.11763
2026-08-31 01:15:00,SA1,100.40312
2026-08-31 01:15:00,TAS1,85.85554
2026-08-31 01:15:00,VIC1,95.33029
2026-08-31 01:20:00,NSW1,91.60393
2026-08-31 01:20:00,QLD1,77.25968
2026-08-31 01:20:00,SA1,96.23885
2026-08-31 01:20:00,TAS1,82.51246
2026-08-31 01:20:00,VIC1,91.31000
2026-08-31 01:25:00,NSW1,92.36033
2026-08-31 01:25:00,QLD1,78.38166
2026-08-31 01:25:00,SA1,95.86350
2026-08-31 01:25:00,TAS1,82.51498
2026-08-31 01:25:00,VIC1,91.31000
2026-08-31 01:30:00,NSW1,94.32805
2026-08-31 01:30:00,QLD1,78.52000
2026-08-31 01:30:00,SA1,22.20000
2026-08-31 01:30:00,TAS1,111.68944
2026-08-31 01:30:00,VIC1,123.99000
2026-08-31 01:35:00,NSW1,83.34000
2026-08-31 01:35:00,QLD1,69.39849
2026-08-31 01:35:00,SA1,86.44000
2026-08-31 01:35:00,TAS1,111.32595
2026-08-31 01:35:00,VIC1,123.99000
2026-08-31 01:40:00,NSW1,83.34000
2026-08-31 01:40:00,QLD1,69.86511
2026-08-31 01:40:00,SA1,102.35549
2026-08-31 01:40:00,TAS1,87.46544
2026-08-31 01:40:00,VIC1,97.40756
2026-08-31 01:45:00,NSW1,84.79000
2026-08-31 01:45:00,QLD1,70.61642
2026-08-31 01:45:00,SA1,97.77441
2026-08-31 01:45:00,TAS1,81.73236
2026-08-31 01:45:00,VIC1,91.31000
2026-08-31 01:50:00,NSW1,96.19548
2026-08-31 01:50:00,QLD1,78.54000
2026-08-31 01:50:00,SA1,86.44000
2026-08-31 01:50:00,TAS1,83.97998
2026-08-31 01:50:00,VIC1,93.51381
2026-08-31 01:55:00,NSW1,104.49352
2026-08-31 01:55:00,QLD1,84.73006
2026-08-31 01:55:00,SA1,47.97000
2026-08-31 01:55:00,TAS1,120.56063
2026-08-31 01:55:00,VIC1,134.68000
2026-08-31 02:00:00,NSW1,92.29035
2026-08-31 02:00:00,QLD1,75.27796
2026-08-31 02:00:00,SA1,70.44000
2026-08-31 02:00:00,TAS1,82.79246
2026-08-31 02:00:00,VIC1,91.31000
2026-08-31 02:05:00,NSW1,89.12996
2026-08-31 02:05:00,QLD1,73.23300
2026-08-31 02:05:00,SA1,70.44000
2026-08-31 02:05:00,TAS1,82.26737
2026-08-31 02:05:00,VIC1,91.31000
2026-08-31 02:10:00,NSW1,96.22066
2026-08-31 02:10:00,QLD1,78.52000
2026-08-31 02:10:00,SA1,70.44000
2026-08-31 02:10:00,TAS1,112.20466
2026-08-31 02:10:00,VIC1,124.12000
2026-08-31 02:15:00,NSW1,103.74033
2026-08-31 02:15:00,QLD1,84.73006
2026-08-31 02:15:00,SA1,86.44000
2026-08-31 02:15:00,TAS1,116.07599
2026-08-31 02:15:00,VIC1,128.41000
2026-08-31 02:20:00,NSW1,97.09393
2026-08-31 02:20:00,QLD1,78.73000
2026-08-31 02:20:00,SA1,69.73000
2026-08-31 02:20:00,TAS1,86.48589
2026-08-31 02:20:00,VIC1,95.98342
2026-08-31 02:25:00,NSW1,97.63005
2026-08-31 02:25:00,QLD1,78.73000
2026-08-31 02:25:00,SA1,47.97000
2026-08-31 02:25:00,TAS1,119.23114
2026-08-31 02:25:00,VIC1,132.75000
2026-08-31 02:30:00,NSW1,96.16854
2026-08-31 02:30:00,QLD1,78.52000
2026-08-31 02:30:00,SA1,70.44000
2026-08-31 02:30:00,TAS1,117.54900
2026-08-31 02:30:00,VIC1,130.45000
2026-08-31 02:35:00,NSW1,96.80344
2026-08-31 02:35:00,QLD1,78.54000
2026-08-31 02:35:00,SA1,70.44000
2026-08-31 02:35:00,TAS1,115.90247
2026-08-31 02:35:00,VIC1,128.62000
2026-08-31 02:40:00,NSW1,97.80320
2026-08-31 02:40:00,QLD1,78.73000
